month,height
2020-12,1420
2021-01,280
2021-02,875
2021-03,690
2021-04,3220
2021-05,3300
2021-06,1690
2021-07,1100
2021-08,900
2021-09,95
2021-10,500
2021-11,0
2021-12,0
2022-01,840
2022-02,585
2022-03,65
2022-04,945
2022-05,800
2022-06,3720
2022-07,5530
2022-08,340
2022-09,1950
2022-10,2275
2022-11,470
2022-12,1570
2023-01,1520
2023-02,1423
2023-03,1220
2023-04,1610
2023-05,3965
2023-06,2360
2023-07,3885
2023-08,1050
2023-09,810
2023-10,1010
2023-11,1385
2023-12,560
2024-01,1791
2024-02,3015
2024-03,5040
2024-04,3025
2024-05,4625
2024-06,4465
2024-07,3610
2024-08,3760
2024-09,4760
2024-10,2555
2024-11,400
2024-12,0
2025-01,11107
2025-02,1980
2025-03,1455
2025-04,1770
2025-05,2800
2025-06,1227
2025-07,5055
2025-08,2355
2025-09,4255
2025-10,3605
2025-11,1150
