Area,Days,Height,Location
Mt. Goode,1,0,"Washington, United States"
Teer Quarry,1,50,"North Carolina, United States"
Grayson Highlands,1,82,"Virginia, United States"
Sand Rock,1,95,"Alabama, United States"
Narcissus Cave,1,105,"West Virginia, United States"
Laurel Knob,1,120,"North Carolina, United States"
Parriot Mesa,1,250,"Utah, United States"
The Sphinx,1,250,"Utah, United States"
Mount Yonah,1,290,"Georgia, United States"
Orange Oswald Wall,1,315,"West Virginia, United States"
Utopia,1,330,"Utah, United States"
The Junkyard,1,345,"West Virginia, United States"
Table Rock,1,380,"North Carolina, United States"
Linville Amphitheater,1,500,"North Carolina, United States"
Pena de Bernal,1,500,"Queretaro, Mexico"
Looking Glass Rock,2,800,"North Carolina, United States"
Seneca Rocks,2,860,"West Virginia, United States"
Tyler Peak Crags,1,900,"Washington, United States"
Cereal Buttress,2,910,"North Carolina, United States"
Stone Mountain,2,1040,"North Carolina, United States"
Elephant Butte,1,1100,"Utah, United States"
Black Mountain Alpine,1,2200,"North Carolina, United States"
